"id"	"forum_id"	"uid"	"created_at"
"2"	"1"	"1055"	"23/11/2025 23:35:40"
"3"	"2"	"1054"	"23/11/2025 23:35:40"
"4"	"2"	"1056"	"23/11/2025 23:35:40"
"5"	"3"	"1054"	"23/11/2025 23:35:40"
"39"	"3"	"1063"	"1/12/2025 21:09:05"
"41"	"1"	"1003"	"2/12/2025 16:30:57"
"42"	"2"	"1063"	"3/12/2025 00:38:13"
"45"	"1"	"1059"	"3/12/2025 01:32:31"
"47"	"1"	"1060"	"3/12/2025 13:25:05"
